EDUC,EXPE,EDSUP,MUJER,SALARIO
12,9,0,0,12.67862
12,7,0,1,13.82223
12,21,0,0,9.027069
12,7,0,0,6.892471
17,13,1,0,28.25672
14,28,0,0,6.211552
15,9,1,0,22.73149
10,36,0,1,5.367826
10,21,0,1,6.20523
10,35,0,1,5.193563
6,50,0,0,12.94529
12,21,0,0,7.267184
10,9,0,0,5.781846
17,9,1,0,6.847299
6,48,0,0,8.127213
12,31,0,1,5.231264
15,26,1,0,12.29694
6,36,0,1,5.617241
6,30,0,0,10.1911
12,31,0,1,11.79888
10,10,0,0,6.771609
10,24,0,0,8.55408
6,26,0,0,13.08155
17,5,1,1,10.2627
12,38,0,1,10.43746
10,28,0,1,7.888736
14,15,0,0,8.665919
14,21,0,0,15.89649
15,17,1,0,7.267011
14,44,0,0,12.31356
12,18,0,1,6.95385
10,16,0,0,7.855862
12,18,0,0,30.95661
14,27,0,0,15.48477
10,13,0,1,9.251008
12,12,0,0,8.21018
6,20,0,1,5.072069
17,14,1,0,8.353391
17,8,1,0,11.02684
10,29,0,0,7.787893
6,24,0,0,6.88431
10,15,0,0,6.251264
17,30,1,0,33.02851
10,15,0,0,10.31845
17,14,1,1,27.65878
10,18,0,0,16.66668
17,29,1,0,9.557889
10,18,0,1,8.334713
12,5,0,0,7.124042
12,18,0,0,8.548046
10,29,0,0,10.07707
18,18,1,0,24.39713
6,42,0,0,11.49695
10,26,0,0,40.4446
10,30,0,1,8.374598
6,39,0,0,9.540493
17,9,1,1,37.02398
10,23,0,1,8.320288
17,4,1,0,8.00032
12,21,0,0,11.49425
14,16,0,1,6.93362
17,9,1,1,14.44295
15,3,1,0,6.803525
15,22,1,0,18.14882
12,22,0,1,11.37894
15,12,1,0,9.926614
14,42,0,0,44.159
17,8,1,1,7.377418
15,23,1,0,14.35069
12,28,0,0,12.73347
17,19,1,1,13.92345
17,9,1,0,13.72161
6,30,0,1,5.617299
12,14,0,0,6.41722
10,31,0,1,9.770115
10,39,0,0,9.76069
6,38,0,0,7.943965
15,37,1,1,15.8208
15,14,1,1,6.172759
12,31,0,0,13.73707
17,11,1,1,11.87598
10,33,0,1,8.002146
17,29,1,0,13.73775
6,52,0,0,8.803448
14,23,0,0,13.21931
6,18,0,1,8.044827
10,42,0,1,5.016357
6,24,0,1,5.733851
12,14,0,1,7.372886
10,7,0,0,6.981552
15,5,1,1,5.200058
17,25,1,0,10.43126
17,23,1,1,19.15845
12,9,0,0,4.330287
15,17,1,1,21.14778
15,31,1,1,15.12433
17,29,1,0,35.38618
6,23,0,0,8.070575
15,21,1,1,25.56184
14,27,0,0,11.23655
10,26,0,0,14.30805
6,33,0,0,11.0192
15,10,1,1,9.237184
17,4,1,0,15.72057
10,26,0,1,5.055977
15,4,1,1,11.01534
6,31,0,0,7.339253
10,15,0,0,6.736264
10,19,0,0,15.79037
10,40,0,1,4.729455
10,32,0,1,6.881643
10,40,0,1,17.75436
10,23,0,1,6.178161
12,11,0,0,4.310345
17,17,1,1,7.272095
10,30,0,1,4.810058
10,17,0,0,7.165517
6,28,0,1,4.128123
15,20,1,0,19.3908
15,25,1,0,25.51065
10,10,0,1,11.60092
12,20,0,0,4.896839
6,31,0,1,4.405057
6,17,0,0,6.319368
10,24,0,1,7.487816
17,21,1,0,24.47437
0,21,0,1,11.25672
12,8,0,1,7.156852
6,19,0,0,7.257648
12,26,0,0,32.4976
12,18,0,0,16.77002
10,17,0,0,10.09778
10,3,0,0,6.851609
6,41,0,0,10.30316
10,41,0,0,13.07063
10,23,0,1,8.598162
17,17,1,0,27.24509
12,4,0,1,5.17069
6,25,0,0,9.301897
6,39,0,0,7.278333
6,20,0,0,5.734655
6,37,0,1,9.933215
17,13,1,0,37.68024
6,20,0,1,7.37816
12,33,0,0,12.35071
17,24,1,0,26.27046
17,2,1,1,8.825919
17,6,1,1,8.779464
10,41,0,0,16.58041
17,25,1,0,7.387701
10,48,0,1,12.48851
12,4,0,1,5.951851
12,30,0,0,9.040977
10,18,0,1,5.024631
10,15,0,0,7.314138
15,17,1,0,19.32879
6,17,0,0,4.631659
18,6,1,1,7.183966
10,39,0,0,29.5032
10,16,0,0,18.80667
6,45,0,0,7.369368
10,28,0,0,7.942529
12,28,0,0,16.23086
12,42,0,0,9.733334
10,19,0,0,19.93013
15,15,1,1,17.14943
10,9,0,0,7.134425
12,15,0,0,14.40387
12,27,0,1,21.44018
10,41,0,0,14.03431
12,28,0,1,10.99061
6,37,0,1,5.788966
12,19,0,1,11.88627
12,13,0,0,9.321897
17,24,1,1,17.93839
6,43,0,1,10.58693
10,40,0,1,8.645517
12,22,0,0,6.628778
12,13,0,0,6.524291
12,17,0,0,12.62931
17,0,1,1,5.172414
10,27,0,1,3.803652
10,23,0,1,6.518391
17,15,1,0,30.61741
10,20,0,0,8.748678
10,42,0,0,8.264153
6,38,0,0,7.694253
10,33,0,0,11.64339
12,25,0,1,9.256896
6,49,0,0,18.07163
12,13,0,0,12.87415
10,32,0,0,10.69816
12,16,0,1,4.150191
12,24,0,0,10.39966
15,12,1,1,19.86529
10,24,0,1,7.471673
14,19,0,1,11.64736
17,17,1,0,11.44782
10,29,0,0,6.88931
15,14,1,1,10.09391
12,26,0,1,9.846174
10,17,0,0,12.60839
10,48,0,1,6.665585
6,37,0,1,8.733965
12,6,0,0,11.47247
17,12,1,0,23.31701
10,32,0,0,5.115977
12,19,0,0,19.35172
10,17,0,0,8.405487
14,36,0,0,14.51511
14,30,0,0,9.488976
6,30,0,0,12.69377
17,11,1,0,22.733
10,39,0,0,15.69736
12,15,0,0,9.92362
10,33,0,0,21.65465
12,25,0,0,17.96328
12,13,0,0,7.35908
15,15,1,1,12.74495
6,38,0,0,12.04036
15,6,1,1,10.72184
17,12,1,1,5.87885
10,34,0,0,42.29258
6,30,0,0,6.519776
10,32,0,1,9.54862
17,19,1,1,23.66374
6,38,0,0,12.67879
10,13,0,1,8.936551
10,26,0,0,6.893334
6,36,0,0,14.66028
12,8,0,0,7.856322
12,11,0,0,10.95296
12,27,0,0,7.536303
12,30,0,1,18.02299
6,40,0,0,15.1161
17,5,1,0,5.919713
10,14,0,0,7.525623
10,12,0,0,5.381992
14,21,0,1,9.993851
10,14,0,1,7.783678
6,13,0,0,11.4654
15,8,1,0,13.23391
6,23,0,0,16.65346
10,41,0,0,6.963926
10,28,0,0,9.842528
6,29,0,1,5.801954
12,11,0,1,6.079253
14,18,0,0,9.62885
12,31,0,0,13.38362
14,32,0,1,12.48145
12,17,0,0,6.138621
6,49,0,1,6.954023
15,39,1,0,19.88236
14,15,0,0,15.41
14,14,0,1,15.50947
6,19,0,0,9.550344
17,9,1,1,8.779464
14,20,0,0,16.68782
14,19,0,0,9.97592
12,28,0,0,16.0046
6,48,0,0,39.94098
6,29,0,1,5.923431
17,18,1,1,7.853678
14,5,0,0,5.402299
14,27,0,0,11.96948
12,11,0,1,9.254023
15,22,1,1,14.31207
6,27,0,1,8.129656
10,17,0,0,7.255229
6,43,0,0,14.30977
15,20,1,0,8.299597
14,21,0,0,10.83201
